Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
diving,Lacerations,non-fatal,other,14,Teen,,,,,,
swimming,Lacerations to right calf and hand,non-fatal,other,15,Teen,,,,,,
swimming,Lacerations to back,non-fatal,other,15,Teen,,,,,,
surfing,Arm bitten,non-fatal,reef shark,,Unknown,,,,,,
fishing,Leg bitten,non-fatal,other,27,Young Adult,,,,,,
swimming,FATAL,fatal,other,57,Adult,,,,,,
swimming,Laceration to lower right leg,non-fatal,other,,Unknown,,,,,,
surfing,Fingers lacerated,non-fatal,other,26,Young Adult,,,,,,
fishing,Disappeared,unknown,other,26,Young Adult,,,,,,
swimming,Lacerations and puncture to left leg,non-fatal,other,34,Young Adult,,,,,,
surfing,`Left foot bitten,non-fatal,other,25,Young Adult,,,,,,
swimming,Injury to lower left leg,non-fatal,other,,Unknown,,,,,,
surfing,Injury to posterior left thigh,non-fatal,other,38,Adult,,,,,,
swimming,Laceration to arm caused by metal object,unknown,other,,Unknown,,,,,,
surfing,Minor injury to right arm,non-fatal,other,,Unknown,,,,,,
surfing,FATAL,fatal,white shark,31,Young Adult,,,,,,
fishing,Severe injury to leg,non-fatal,other,64,Senior,,,,,,
surfing,Left ankle and foot bitten,non-fatal,bull shark,41,Adult,,,,,,
swimming,Thigh injured,non-fatal,other,21,Young Adult,,,,,,
surfing,Minor cuts to right foot and ankle,non-fatal,other,35,Young Adult,,,,,,
snorkeling,Lacerations to legs,non-fatal,other,15,Teen,,,,,,
swimming,Lacerations and puncture wounds to lower left leg,non-fatal,other,12,Child,,,,,,
fishing,Hands bitten while attempting to unhook shark               PROVOKED INCIDENT,non-fatal,other,47,Adult,,,,,,
surfing,Lower left leg bitten,non-fatal,other,58,Adult,,,,,,
fishing,Leg bitten when he jumped on the sharkPROVOKED INCIDENT,non-fatal,other,34,Young Adult,,,,,,
swimming,Minor injury to calf ,non-fatal,other,,Unknown,,,,,,
other,Lacerations to lower right leg PROVOKED INCIDENT,non-fatal,bull shark,55,Adult,,,,,,
surfing,No injury,non-fatal,other,,Unknown,,,,,,
surfing,"No injury, knocked off board by shark",non-fatal,white shark,,Unknown,,,,,,
surfing,Injuries to leg and torso,non-fatal,other,38,Adult,,,,,,
fishing,Shark involvement prior to death not confirmed,fatal,other,36,Adult,,,,,,
wading,FATAL,fatal,other,51,Adult,,,,,,
surfing,Left forearm broken & lacerated,non-fatal,white shark,25,Young Adult,,,,,,
fishing,PROVOKED INCIDENT Lacerations to right hand,non-fatal,bull shark,19,Young Adult,,,,,,
diving,Single bite to right thigh ,non-fatal,other,31,Young Adult,,,,,,
surfing,Lacerations to thigh and calf,unknown,other,,Unknown,,,,,,
swimming,Calf bitten,non-fatal,other,7,Child,,,,,,
swimming,Posterior right thigh bitten,non-fatal,white shark,38,Adult,,,,,,
surfing,Lacerations to calf and ankle,non-fatal,other,25,Young Adult,,,,,,
swimming,"""superficial injuries:",non-fatal,other,14,Teen,,,,,,
