Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
swimming,Severe lacerations to left arm ,non-fatal,other,58,Adult,,,,,,
fishing,No injury to occupants,non-fatal,white shark,,Unknown,,,,,,
snorkeling,Puncture wounds to left calf,non-fatal,other,73,Senior,,,,,,
snorkeling,FATAL,fatal,white shark,32,Young Adult,,,,,,
swimming,Serious injury to left leg,non-fatal,bull shark,57,Adult,,,,,,
surfing,Puncture wounds to right hand,non-fatal,other,52,Adult,,,,,,
swimming,Severe injury to leg and broken him,non-fatal,bull shark,54,Adult,,,,,,
swimming,Injury to leg,non-fatal,other,7,Child,,,,,,
swimming,"Severe injury to left leg, resulting in amputation above the knee",non-fatal,other,26,Young Adult,,,,,,
swimming,FATAL,fatal,other,19,Young Adult,,,,,,
surfing,"No injury, board damaged",non-fatal,other,19,Young Adult,,,,,,
surfing,1.5 cut to ankle,non-fatal,other,17,Teen,,,,,,
swimming,Significant injury to right lower leg,non-fatal,other,68,Senior,,,,,,
swimming,No injury. Swim fin bittten,non-fatal,white shark,,Unknown,,,,,,
fishing,Injuries to leg,non-fatal,other,40,Adult,,,,,,
swimming,FATAL,fatal,tiger shark,39,Adult,,,,,,
surfing,"No injury, Board bitten",non-fatal,other,,Unknown,,,,,,
surfing,FATAL,fatal,tiger shark,56,Adult,,,,,,
surfing,Non-life-threatening to left lower leg & foot,non-fatal,other,20,Young Adult,,,,,,
surfing,Non-life-threatening injuries to buttock and thigh,non-fatal,white shark,29,Young Adult,,,,,,
other,Left shoulder bitten,non-fatal,white shark,42,Adult,,,,,,
snorkeling,Severe injury to torso,non-fatal,other,35,Young Adult,,,,,,
snorkeling,Three 3-inch lacerations to thigh,non-fatal,tiger shark,,Unknown,,,,,,
other,FATAL,fatal,bull shark,59,Adult,,,,,,
surfing,"Minor injury to left foot, leg and finger",non-fatal,other,13,Teen,,,,,,
swimming,Minor injuries,non-fatal,other,17,Teen,,,,,,
fishing,Hand/wrist bitten,non-fatal,reef shark,,Unknown,,,,,,
surfing,Hand bitten,non-fatal,other,,Unknown,,,,,,
snorkeling,"Boy lost arm, dive guide lost leg, ",non-fatal,other,,Unknown,,,,,,
fishing,Severe injury to thigh,non-fatal,other,59,Adult,,,,,,
surfing,Laceration to knee and foot,non-fatal,other,,Unknown,,,,,,
surfing,FATAL,fatal,other,52,Adult,,,,,,
surfing,Laceration to lower leg,non-fatal,other,31,Young Adult,,,,,,
surfing,"No injury, knocked off board when shark grabbed his leg rope",non-fatal,whaler shark,17,Teen,,,,,,
swimming,Lacerations and puncture wounds to shoulder,non-fatal,other,61,Senior,,,,,,
snorkeling,Severe bite to shoulder,non-fatal,bull shark,30,Young Adult,,,,,,
fishing,Arm bitten by hooked shark PROVOKED INCIDENT,non-fatal,white shark,,Unknown,,,,,,
other,"No injury, board bitten",non-fatal,white shark,,Unknown,,,,,,
swimming,Minor cuts and punctures to left foot,non-fatal,other,48,Adult,,,,,,
surfing,Cuts to right hand and wrist,non-fatal,other,15,Teen,,,,,,
surfing,Left arm bitten,non-fatal,other,25,Young Adult,,,,,,
surfing,Hand bitten that was holding a fish PROVOKED INCIDENT,non-fatal,other,54,Adult,,,,,,
surfing,FATAL,fatal,white shark,46,Adult,,,,,,
snorkeling,Ankle bitten,non-fatal,other,70,Senior,,,,,,
fishing,"Shark bit boat, no injury to occupant",non-fatal,white shark,,Unknown,,,,,,
surfing,Injury to right foot and ankle,non-fatal,other,12,Child,,,,,,
fishing,"No injury, kayak damaged",non-fatal,white shark,,Unknown,,,,,,
surfing,Lacerations to sole of left foot,non-fatal,other,14,Teen,,,,,,
wading,Minor injury to arm by a fish,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to right calf and posterior thigh,non-fatal,white shark,35,Young Adult,,,,,,
fishing,Injury to left forearm by hooked shark PROVOKED INCIDENT,non-fatal,other,55,Adult,,,,,,
snorkeling,Lacerations to hand and wrist,non-fatal,other,,Unknown,,,,,,
surfing,"No Injury, but board bitten",non-fatal,other,54,Adult,,,,,,
surfing,Lacerations to foot ,non-fatal,other,22,Young Adult,,,,,,
swimming,Lacerations to foot and toes,non-fatal,other,14,Teen,,,,,,
surfing,Lacerations to leg,non-fatal,white shark,28,Young Adult,,,,,,
diving,Lower leg bitten,non-fatal,other,38,Adult,,,,,,
other,"No injury to occupants, injury to shark attempting to swallow anchor",unknown,white shark,,Unknown,,,,,,
swimming,Leg bitten,non-fatal,reef shark,4,Child,,,,,,
swimming,FATAL,fatal,white shark,63,Senior,,,,,,
fishing,Lacerations to legs,non-fatal,reef shark,23,Young Adult,,,,,,
other,Left calf & foot bitten,non-fatal,bull shark,,Unknown,,,,,,
wading,Right leg bitten,non-fatal,other,12,Child,,,,,,
fishing,"Lacerations to arm, head & chest",non-fatal,white shark,10,Child,,,,,,
wading,Severe bite to right foot,non-fatal,bull shark,14,Teen,,,,,,
snorkeling,Injury to lower left leg and ankle,non-fatal,other,29,Young Adult,,,,,,
surfing,FATAL,fatal,white shark,15,Teen,,,,,,
surfing,Minor injury to right foot,non-fatal,other,15,Teen,,,,,,
fishing,FATAL,fatal,other,36,Adult,,,,,,
other,Cuts to lower leg,non-fatal,bull shark,7,Child,,,,,,
surfing,Injury to thigh,non-fatal,other,16,Teen,,,,,,
surfing,"No inury, ski damaged",non-fatal,other,,Unknown,,,,,,
surfing,FATAL,fatal,tiger shark,30,Young Adult,,,,,,
surfing,FATAL,fatal,white shark,60,Adult,,,,,,
surfing,Cut to index finger of hand,non-fatal,tiger shark,,Unknown,,,,,,
fishing,Lacerations to left hand,non-fatal,bull shark,,Unknown,,,,,,
fishing,"No injury, swim fin bitten",non-fatal,bull shark,18,Teen,,,,,,
other,Left foot bitten,non-fatal,bull shark,12,Child,,,,,,
snorkeling,Leg bitten,non-fatal,other,,Unknown,,,,,,
surfing,FATAL,fatal,white shark,26,Young Adult,,,,,,
surfing,Leg injured,non-fatal,other,,Unknown,,,,,,
swimming,2 lacerations to foot,non-fatal,other,57,Adult,,,,,,
swimming,Lacerations to foot,non-fatal,other,,Unknown,,,,,,
surfing,Foot bitten,non-fatal,bull shark,,Unknown,,,,,,
swimming,FATAL,fatal,other,23,Young Adult,,,,,,
surfing,Right hand bitten,non-fatal,other,38,Adult,,,,,,
paddle,"No injury, paddleboard bitten",non-fatal,other,,Unknown,,,,,,
surfing,Left foot bitten ,non-fatal,other,,Unknown,,,,,,
surfing,Left foot bitten when he jumped on the shark  PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
fishing,"PROVOKED INCIDENT No injury, shark nudged kayak repeatedly",non-fatal,white shark,,Unknown,,,,,,
fishing,Lacerations to right elbow,non-fatal,other,26,Young Adult,,,,,,
surfing,"Minor injury, surfboard bitten",non-fatal,white shark,60,Adult,,,,,,
paddle,"No injury, but paddleboard bitten",non-fatal,tiger shark,,Unknown,,,,,,
surfing,Laceration ot left ankle and foot,non-fatal,other,59,Adult,,,,,,
surfing,Minor injury to lower leg,non-fatal,other,13,Teen,,,,,,
surfing,Lacerations to foot,non-fatal,other,26,Young Adult,,,,,,
swimming,Calf bitten,non-fatal,other,75,Senior,,,,,,
swimming,Lacerations to leg,non-fatal,other,7,Child,,,,,,
other,FATAL,fatal,white shark,57,Adult,,,,,,
swimming,Probable drowning and scavenging,fatal,other,21,Young Adult,,,,,,
swimming,Minor injury to hand,non-fatal,other,,Unknown,,,,,,
swimming,Arm bitten,non-fatal,other,45,Adult,,,,,,
fishing,FATAL,fatal,other,33,Young Adult,,,,,,
surfing,"No injury, shark bit surf ski",non-fatal,other,,Unknown,,,,,,
surfing,Right leg bitten,non-fatal,other,37,Adult,,,,,,
fishing,PROVOKED INCIDENT,unknown,white shark,,Unknown,,,,,,
kayaking,Partial remains recovered 12/26/2019 from shark,unknown,tiger shark,70,Senior,,,,,,
swimming,FATAL,fatal,other,22,Young Adult,,,,,,
paddle,"No injury, inflatable paddle board was bitten by the shark",non-fatal,tiger shark,57,Adult,,,,,,
surfing,"No injury, knocked from his board by the shark",non-fatal,other,9,Child,,,,,,
snorkeling,Lacerations to foot,non-fatal,other,30,Young Adult,,,,,,
fishing,"Believed to have drowned. Partial remains washed ashore at North Beach, Mylestom, New South Wales on 17 December. Shark involvement prior to death could not be confirmed",unknown,other,38,Adult,,,,,,
fishing,Lacerations to arm from hooked shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
snorkeling,"No injury, swim fin bitten",non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to left foot,non-fatal,other,30,Young Adult,,,,,,
snorkeling,Bite to right forearm,non-fatal,other,23,Young Adult,,,,,,
fishing,"No injury, kayak damaged",non-fatal,white shark,,Unknown,,,,,,
surfing,"No inury, knocked from board",non-fatal,white shark,,Unknown,,,,,,
snorkeling,Hand recovered from shark. Later confirmed death most likely due to drowning,fatal,tiger shark,44,Adult,,,,,,
snorkeling,Raddon’s right foot was severed and Maggs sustained serious lacerations to his lower right leg.,non-fatal,tiger shark,,Unknown,,,,,,
surfing,Minor cuts when he jumped off his board and landed on the shark. PROVOKED INCIDENT,non-fatal,other,32,Young Adult,,,,,,
fishing,"No injury, kayak bitten",non-fatal,white shark,,Unknown,,,,,,
snorkeling,Severe injuries to arms and chest,unknown,white shark,35,Young Adult,,,,,,
surfing,"No injury, surfboard bitten",non-fatal,other,17,Teen,,,,,,
surfing,Lacerations to right foot,non-fatal,other,20,Young Adult,,,,,,
surfing,"No injury, surfboard severely damaged",non-fatal,white shark,29,Young Adult,,,,,,
kayaking,"No injury, shark bit kayak",non-fatal,white shark,51,Adult,,,,,,
surfing,Minor injury to left thigh,non-fatal,other,,Unknown,,,,,,
fishing,Hooked shark bit his leg. PROVOKED INCIDENT,non-fatal,other,45,Adult,,,,,,
surfing,"No injury, back of board bitten",non-fatal,other,,Unknown,,,,,,
swimming,Laceration to arm,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to left foot,non-fatal,other,13,Teen,,,,,,
snorkeling,Minor injuries,non-fatal,other,,Unknown,,,,,,
fishing,"No injury, shark bit swim fin",non-fatal,white shark,,Unknown,,,,,,
fishing,Bite to posterior left knee,non-fatal,other,70,Senior,,,,,,
surfing,Hand and calf bitten when he jumped off surfboard and landed on the shark PROVOKED INCIDENT,non-fatal,other,40,Adult,,,,,,
wading,Foot bitten,non-fatal,other,11,Child,,,,,,
swimming,Injury to lower back and right hip,non-fatal,other,26,Young Adult,,,,,,
fishing,Right arm bitten,non-fatal,reef shark,32,Young Adult,,,,,,
wading,Puncture marks to lower leg,non-fatal,other,9,Child,,,,,,
surfing,"No injury, board damaged",non-fatal,other,16,Teen,,,,,,
surfing,Minor cuts to right foot,non-fatal,other,21,Young Adult,,,,,,
surfing,Bite to left hand and wrist,non-fatal,other,20,Young Adult,,,,,,
fishing,Laceration to left arm and hands,non-fatal,other,37,Adult,,,,,,
swimming,Bite to abdomen & left leg medial thigh,non-fatal,other,49,Adult,,,,,,
fishing,Arc of punctures to lower right leg by hooked shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
surfing,3 lacerations to left hand,non-fatal,other,18,Teen,,,,,,
snorkeling,Lacerations to lower leg,unknown,other,,Unknown,,,,,,
surfing,Puncture wounds around left elbow,non-fatal,other,23,Young Adult,,,,,,
surfing,Foot bitten,non-fatal,tiger shark,18,Teen,,,,,,
diving,Unknown / Unconfirmed,unknown,other,,Unknown,,,,,,
other,Shark rammed him but no injury,non-fatal,white shark,45,Adult,,,,,,
surfing,Ankle bitten,non-fatal,other,,Unknown,,,,,,
surfing,Leg injured,non-fatal,white shark,,Unknown,,,,,,
paddle,Puncture wounds to wrist,non-fatal,bull shark,43,Adult,,,,,,
fishing,Leg injured,non-fatal,other,,Unknown,,,,,,
snorkeling,Unknown,non-fatal,other,32,Young Adult,,,,,,
surfing,Minor injury to foot,non-fatal,other,18,Teen,,,,,,
snorkeling,FATAL,fatal,other,21,Young Adult,,,,,,
fishing,Lacerations to left calf,non-fatal,other,,Unknown,,,,,,
swimming,Puncture wounds to leg,non-fatal,other,8,Child,,,,,,
snorkeling,Injuries to left lower leg,unknown,other,50,Adult,,,,,,
swimming,Arc of lacerations to bicep,non-fatal,bull shark,64,Senior,,,,,,
surfing,Cuts to right foot,non-fatal,other,19,Young Adult,,,,,,
surfing,Injury to wrist,non-fatal,other,,Unknown,,,,,,
fishing,FATAL,fatal,other,43,Adult,,,,,,
swimming,FATAL,fatal,other,65,Senior,,,,,,
swimming,Leg severed,non-fatal,bull shark,10,Child,,,,,,
other,Laceration to head and shark bit diver's tank,non-fatal,tiger shark,,Unknown,,,,,,
surfing,"No injury, knocked of board by shark",non-fatal,other,,Unknown,,,,,,
surfing,Laceration to right ankle,non-fatal,other,53,Adult,,,,,,
surfing,FATAL,fatal,other,28,Young Adult,,,,,,
swimming,Injuries to left arm and hand,non-fatal,other,34,Young Adult,,,,,,
surfing,"No injury, shark severed surfboard leash",non-fatal,white shark,28,Young Adult,,,,,,
fishing,Cut to toe from hooked shark PROVOKED INCIDENT,non-fatal,other,12,Child,,,,,,
fishing,Injury to leg,non-fatal,other,,Unknown,,,,,,
fishing,3 puncture marks to left forearm,non-fatal,other,18,Teen,,,,,,
kayaking,Injury to right inner thigh,non-fatal,tiger shark,65,Senior,,,,,,
other,"Probable death by drowning, body scavenged by shark",non-fatal,tiger shark,58,Adult,,,,,,
swimming,Bitten on left shoulder,non-fatal,other,23,Young Adult,,,,,,
other,"Lacerations to face, chin and scalp",non-fatal,tiger shark,,Unknown,,,,,,
swimming,Puncture marks to left hip and buttocks,non-fatal,reef shark,25,Young Adult,,,,,,
surfing,Lacerations to foot,non-fatal,other,46,Adult,,,,,,
swimming,20 cm gash to right leg,non-fatal,other,32,Young Adult,,,,,,
swimming,Bite to abdomen,non-fatal,other,58,Adult,,,,,,
surfing,"No injury, board bitten and dented",non-fatal,other,,Unknown,,,,,,
fishing,Lacerations to arm from shark caught in trawl net  PROVOKED INCIDENT,non-fatal,other,46,Adult,,,,,,
surfing,"No injury, shark bumped leg",non-fatal,other,,Unknown,,,,,,
surfing,Lacerations/puncture marks to thigh,non-fatal,other,41,Adult,,,,,,
surfing,Minor injury to face,non-fatal,other,31,Young Adult,,,,,,
fishing,Right forearm bitten,non-fatal,reef shark,25,Young Adult,,,,,,
surfing,Multiple lacerations to leg,non-fatal,tiger shark,,Unknown,,,,,,
surfing,"No injury, surfboard bitten",non-fatal,other,50,Adult,,,,,,
fishing,"No  injury to occupants, shark bit pontoon causing it to deflate.",non-fatal,other,,Unknown,,,,,,
fishing,Right wrist and hand injured,non-fatal,bull shark,50,Adult,,,,,,
fishing,FATAL,fatal,other,41,Adult,,,,,,
swimming,Minor injury to left foot,non-fatal,other,15,Teen,,,,,,
wading,Injuries to foot & leg,non-fatal,other,,Unknown,,,,,,
surfing,Cuts to both lower legs,non-fatal,white shark,19,Young Adult,,,,,,
diving,FATAL,fatal,tiger shark,35,Young Adult,,,,,,
fishing,Injuries to leg and hand,non-fatal,mako shark,24,Young Adult,,,,,,
fishing,No injury,non-fatal,whaler shark,50,Adult,,,,,,
surfing,Five deep lacerations to lower right leg,non-fatal,other,36,Adult,,,,,,
surfing,Cut to left foot,non-fatal,other,,Unknown,,,,,,
surfing,Lacerations to left foot,non-fatal,other,48,Adult,,,,,,
fishing,Severe lacerations to left arm and right leg,non-fatal,reef shark,17,Teen,,,,,,
surfing,Injuries to calf and hand,non-fatal,other,24,Young Adult,,,,,,
kayaking,"No injury to occupant, kayak bitten",non-fatal,tiger shark,31,Young Adult,,,,,,
fishing,Surf-ski bitten but no injury to occupant,non-fatal,white shark,41,Adult,,,,,,
other,Injuries to lower left leg and foot,non-fatal,tiger shark,20,Young Adult,,,,,,
swimming,Arc of shallow lacerations to back,non-fatal,other,8,Child,,,,,,
surfing,20 cm injury to left calf,non-fatal,other,42,Adult,,,,,,
swimming,FATAL,fatal,other,33,Young Adult,,,,,,
other,Calf muscle removed,non-fatal,white shark,,Unknown,,,,,,
surfing,Knocked off board by a  shark.   No injury,non-fatal,other,,Unknown,,,,,,
surfing,Injury to right foot,non-fatal,other,,Unknown,,,,,,
surfing,Minor injury to toe,non-fatal,other,29,Young Adult,,,,,,
other,Injury to right hand / wrist,non-fatal,white shark,,Unknown,,,,,,
surfing,Injury to upper right arm,non-fatal,bull shark,50,Adult,,,,,,
surfing,Severe lacerations to arm and hand and cut to face,non-fatal,white shark,25,Young Adult,,,,,,
surfing,"No injury, tail of surf ski bitten off",non-fatal,other,,Unknown,,,,,,
fishing,"No injury, claimed he was bumped by shark",non-fatal,white shark,,Unknown,,,,,,
surfing,Black eye,non-fatal,other,,Unknown,,,,,,
fishing,Injury to upper left arm by hooked shark PROVOKED INCIDENT,non-fatal,reef shark,55,Adult,,,,,,
diving,Traumatic injuries to upper torso,non-fatal,white shark,13,Teen,,,,,,
other,Knee bitten,non-fatal,bull shark,17,Teen,,,,,,
fishing,"No injury, shark nicked kayak",non-fatal,white shark,55,Adult,,,,,,
diving,Abrasion to leg when he kicked the shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
fishing,Lacerations to fingers,non-fatal,other,32,Young Adult,,,,,,
fishing,FATAL,fatal,other,43,Adult,,,,,,
swimming,Serious injury to left thigh,non-fatal,other,12,Child,,,,,,
swimming,Serious injury to anterior right thigh,non-fatal,other,46,Adult,,,,,,
other,FATAL,fatal,white shark,26,Young Adult,,,,,,
surfing,Ankle bitten,non-fatal,other,39,Adult,,,,,,
paddle,Right arm bitten,non-fatal,tiger shark,23,Young Adult,,,,,,
surfing,Calf bitten,non-fatal,other,,Unknown,,,,,,
fishing,Forearm bitten by hooked shark PROVOKED INCIDENT,non-fatal,other,40,Adult,,,,,,
diving,Right foream bitten,non-fatal,other,,Unknown,,,,,,
swimming,Shark bumped chest but no injury ,non-fatal,other,14,Teen,,,,,,
fishing,Lacerations to head and neck,non-fatal,reef shark,29,Young Adult,,,,,,
surfing,Injury to right lower leg,non-fatal,other,14,Teen,,,,,,
swimming,"Lacerations to leg, hip and hand",non-fatal,white shark,61,Senior,,,,,,
fishing,Laceration to right leg above the knee,non-fatal,bull shark,42,Adult,,,,,,
swimming,Injury to right calf,non-fatal,other,,Unknown,,,,,,
snorkeling,FATAL,fatal,tiger shark,42,Adult,,,,,,
surfing,Minor cuts to hand,non-fatal,other,14,Teen,,,,,,
other,Minor puncture wounds to leg,non-fatal,tiger shark,13,Teen,,,,,,
wading,Lacerations to lower leg,non-fatal,tiger shark,12,Child,,,,,,
surfing,Single laceration to right thigh inconsistent with shark bite,unknown,other,,Unknown,,,,,,
fishing,"Autopsy confirmed death by drowning, shark bite were post-mortem",unknown,other,62,Senior,,,,,,
wading, Surf washed the dying shark against her foot PROVOKED INCIDENT,non-fatal,other,58,Adult,,,,,,
surfing,"Laceration to left thigh, possibly caused by surfboard ",non-fatal,other,14,Teen,,,,,,
wading,Foot bitten,non-fatal,other,17,Teen,,,,,,
surfing,Lacerations to left foot,non-fatal,other,30,Young Adult,,,,,,
surfing,Minor injury to foot,non-fatal,other,14,Teen,,,,,,
snorkeling,Injury to knee/lower leg,non-fatal,other,,Unknown,,,,,,
other,"No injury to occupant, outrigger canoe and paddle damaged",non-fatal,white shark,57,Adult,,,,,,
fishing,Injury to fingers while removing hook from shark          PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
surfing,Injury to left lower leg from surfboard skeg,non-fatal,other,48,Adult,,,,,,
surfing,Minor injury to lower leg,non-fatal,other,,Unknown,,,,,,
other,Lacerations to leg & hand PROVOKED INCIDENT,non-fatal,tiger shark,,Unknown,,,,,,
surfing,"No injury, board bitten",non-fatal,other,,Unknown,,,,,,
swimming,FATAL,fatal,tiger shark,18,Teen,,,,,,
other,Laceration to right thigh,non-fatal,white shark,,Unknown,,,,,,
fishing,Minor injury to foot. PROVOKED INCIDENT,non-fatal,other,52,Adult,,,,,,
